type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
W,59.159862000,17.645480700,,29.4,,,,,Sydgatan 5, Södertälje,
W,59.157811300,17.658795800,,9.5,,,,,Glashyttans Värdshus, Badvägen 31, 151 38 Södertälje,
,,,,,,,,,,
type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,59.165400000,17.646360000,50,5.0,62.5,,1.105,0.00,,
T,59.165320000,17.646450000,50,5.2,150.0,2.1,1.115,10.29,,
T,59.165140000,17.646650000,50,6.4,150.3,5.3,1.138,23.09,,
T,59.164820000,17.647030000,50,7.6,148.7,2.9,1.180,41.75,,
T,59.164700000,17.647190000,50,8.2,145.7,3.2,1.196,16.20,,
T,59.164650000,17.647270000,50,8.5,140.6,4.9,1.203,7.21,,
T,59.164560000,17.647480000,50,9.2,129.9,4.1,1.219,15.65,,
T,59.164470000,17.647750000,50,9.1,123.0,-0.5,1.237,18.41,,
T,59.164420000,17.647970000,50,9.1,113.9,0.0,1.251,13.76,,
T,59.164390000,17.648180000,50,8.7,105.6,-2.7,1.264,12.47,,
T,59.164370000,17.648310000,50,8.4,106.7,-5.1,1.271,7.76,,
T,59.164360000,17.648440000,50,8.4,98.5,0.9,1.279,7.52,,
T,59.164350000,17.648580000,50,8.6,97.9,2.7,1.287,8.09,,
T,59.164350000,17.648710000,50,9.2,90.0,6.9,1.294,7.44,,
T,59.164330000,17.649190000,50,11.8,94.6,9.7,1.322,27.55,,
T,59.164310000,17.649490000,50,13.9,97.4,12.3,1.339,17.30,,
T,59.164310000,17.649620000,50,13.9,90.0,0.0,1.347,7.44,,
T,59.164310000,17.649640000,50,13.9,90.0,0.0,1.348,1.14,,
T,59.164310000,17.649670000,50,13.9,90.0,0.0,1.349,1.72,,
T,59.164310000,17.649900000,50,13.9,90.0,0.0,1.363,13.16,,
T,59.164310000,17.649990000,50,13.9,90.0,0.0,1.368,5.15,,
T,59.164310000,17.650040000,50,13.9,90.0,-2.6,1.371,2.86,,
T,59.164310000,17.650260000,50,13.5,90.0,-3.3,1.383,12.58,,
T,59.164320000,17.650380000,50,12.7,80.8,-11.3,1.390,6.95,,
T,59.164330000,17.650480000,50,11.9,79.0,-13.1,1.396,5.83,,
T,59.164340000,17.650590000,50,11.4,79.9,-8.2,1.402,6.39,,
T,59.164350000,17.650700000,50,11.6,79.9,2.8,1.409,6.39,,
T,59.164360000,17.650800000,50,11.7,79.0,2.5,1.415,5.83,,
T,59.164390000,17.650960000,50,11.7,69.9,0.2,1.424,9.74,,
T,59.164420000,17.651120000,50,11.8,69.9,0.5,1.434,9.74,,
T,59.164420000,17.651120000,50,11.8,69.9,,1.434,0.00,,
T,59.164370000,17.651180000,30,14.0,148.4,33.8,1.441,6.54,,
T,59.164310000,17.651260000,30,16.5,145.7,31.7,1.449,8.10,,
T,59.164270000,17.651310000,30,18.1,147.4,28.9,1.454,5.29,,
T,59.164180000,17.651390000,30,20.8,155.5,24.5,1.465,11.02,,
T,59.164130000,17.651440000,30,21.8,152.9,16.7,1.471,6.26,,
T,59.163850000,17.651550000,30,22.4,168.6,1.8,1.503,31.82,,
T,59.163500000,17.651700000,30,15.6,167.6,-17.0,1.543,39.92,,
T,59.163150000,17.651790000,30,11.2,172.5,-11.3,1.582,39.33,,
T,59.162980000,17.651910000,30,10.6,160.1,-2.9,1.603,20.14,,
T,59.162900000,17.651940000,30,9.7,169.1,-9.4,1.612,9.08,,
T,59.162410000,17.652460000,30,12.0,151.5,3.7,1.674,62.16,,
T,59.162300000,17.652520000,30,12.6,164.4,4.8,1.687,12.73,,
T,59.162220000,17.652580000,30,13.1,159.0,5.4,1.696,9.55,,
T,59.161970000,17.652780000,30,12.4,157.7,-2.4,1.726,30.11,,
T,59.161750000,17.653000000,30,12.0,152.9,-1.5,1.754,27.55,,
T,59.161660000,17.653130000,30,11.7,143.5,-2.1,1.766,12.48,,
T,59.161400000,17.653630000,30,11.4,135.4,-0.8,1.807,40.71,,
T,59.161260000,17.653990000,30,11.7,127.2,1.3,1.833,25.83,,
T,59.161210000,17.654130000,30,11.6,124.9,-1.0,1.842,9.76,,
T,59.161170000,17.654260000,30,11.8,121.0,2.3,1.851,8.67,,
T,59.161150000,17.654370000,30,12.3,109.5,6.9,1.858,6.68,,
T,59.161130000,17.654480000,30,12.7,109.5,6.0,1.865,6.68,,
T,59.161120000,17.654560000,30,13.0,103.7,7.6,1.869,4.71,,
T,59.161110000,17.654650000,30,13.5,102.2,8.3,1.874,5.27,,
